Pesticides,Definition of residue,Agricultural Commodity,Maximum Residue Limit (mg/kg)
Chlorpyrifos,Chlorpyrifos,Okra,0.5
Chlorpyrifos,Chlorpyrifos,Banana,2
Chlorpyrifos,Chlorpyrifos,Rice,0.5
Chlorpyrifos,Chlorpyrifos,"Rice, husked and polished",0.1
Chlorpyrifos,Chlorpyrifos,"Spices, seeds",5
Chlorpyrifos,Chlorpyrifos,"Spices, Fruits or Berries",1
Chlorpyrifos,Chlorpyrifos,"Spices, Roots or Rhizomes",1
Chlorpyrifos,Chlorpyrifos,Rambutan,0.5
Chlorpyrifos,Chlorpyrifos,Soya bean (dry),0.1
Chlorpyrifos,Chlorpyrifos,Soya bean (young pod),1
Chlorpyrifos,Chlorpyrifos,Oil palm,0.05
Chlorpyrifos,Chlorpyrifos,Peppers Chili,3
Chlorpyrifos,Chlorpyrifos,"Peppers Chili, dried",20
Chlorpyrifos,Chlorpyrifos,"Peppers, Sweet",2
Chlorpyrifos,Chlorpyrifos,Coconut,0.05
Chlorpyrifos,Chlorpyrifos,Peanut,0.05
Chlorpyrifos,Chlorpyrifos,Sweet potato,0.05
Chlorpyrifos,Chlorpyrifos,Longan,0.5
Chlorpyrifos,Chlorpyrifos,Litchi,2
Chlorpyrifos,Chlorpyrifos,Shallot,0.2
Chlorpyrifos,Chlorpyrifos,"Onion, Bulb",0.2
Chlorpyrifos,Chlorpyrifos,Cattle meat,1 (fat)
Chlorpyrifos,Chlorpyrifos,Meat of goats and sheep,1 (fat)
Chlorpyrifos,Chlorpyrifos,"Cattle, edible offal of",0.01
Chlorpyrifos,Chlorpyrifos,Edible offal of goat and sheep,0.01
Chlorpyrifos,Chlorpyrifos,Pig meat,0.02 (fat)
Chlorpyrifos,Chlorpyrifos,"Pig, edible offal of",0.01
Chlorpyrifos,Chlorpyrifos,Poultry meat,0.01(fat)
Chlorpyrifos,Chlorpyrifos,"Poultry, edible offal of",0.01
Chlorpyrifos,Chlorpyrifos,Eggs,0.01
Chlorpyrifos,Chlorpyrifos,Milks,0.02
Chlorothalonil,Chlorothalonil,Soya bean (dry),0.2
Chlorothalonil,Chlorothalonil,Soya bean (young pod),2
Chlorothalonil,Chlorothalonil,"Chinese cabbage, type Pe-tsai",1
Chlorothalonil,Chlorothalonil,"Chinese cabbage, type Pe- tsai",1
Chlorothalonil,Chlorothalonil,"Broccoli, Chinese / Chinese, kale",4
Chlorothalonil,Chlorothalonil,Tomato,5
Chlorothalonil,Chlorothalonil,Potato,0.2
Chlorothalonil,Chlorothalonil,Peanut,0.1
Carbaryl,Carbaryl,Lead tree leaves,0.02
Carbaryl,Carbaryl,Sweet corn (corn-on-the cob),0.1
Carbaryl,Carbaryl,Baby corn,0.1
Carbaryl,Carbaryl,Maize,0.02
Carbaryl,Carbaryl,Sorghum,10
Carbaryl,Carbaryl,"Rice, husked and polished",1
Carbaryl,Carbaryl,Rambutan,1
Carbaryl,Carbaryl,"Cucumber and other cucurbits, except watermelon",3
Carbaryl,Carbaryl,Watermelon,1
Carbaryl,Carbaryl,Durian,1
Carbaryl,Carbaryl,Oil palm,0.05
Carbaryl,Carbaryl,Brassica vegetables,1
Carbaryl,Carbaryl,Peppers Chili,0.5
Carbaryl,Carbaryl,"Peppers Chili, dried",2
Carbaryl,Carbaryl,"Peppers, Sweet",5
Carbaryl,Carbaryl,Coconut,1
Carbaryl,Carbaryl,Mango,1
Carbaryl,Carbaryl,Mangosteen,1
