Name(???),Commodities,Pesticides,MRL(mg/kg)
???,Agricultural products,Methidathion,0.01
???,Almond,Daminozide,N.D.
???,Almond,Dicofol,1
???,Almond,Dichlorvos : DDVP,0.1
???,Almond,Dichlofluanid,15
???,Almond,Malathion,0.5
???,Almond,Maleic hydrazide,40
???,Almond,Cypermethrin,2
???,Almond,Cyprodinil,0.02
???,Almond,Cyhalothrin,0.5
???,Almond,Sulfuryl fluoride,0.08
???,Almond,Sethoxydim,1
???,Almond,Simazine,0.25
???,Almond,Azinphos-methyl,0.2
???,Almond,Ethiofencarb,5
???,Almond,Ethion,0.01
???,Almond,"Endosulfan : Sum of £\,£]-endosulfan and endosulfan sulfate",0.05
???,Almond,Oxamyl,0.5
???,Almond,Iprodione,0.3
???,Almond,Carbaryl : NAC,1
???,Almond,Captan,2
???,Almond,Chlorothalonil,0.05
???,Almond,Chlordane,0.02
???,Almond,Chlorpropham,0.05
???,Almond,Clofentezine,0.5
???,Almond,Trichlorfon(DEP)),0.1
???,Almond,Parathion,0.1
???,Almond,Parathion-Methyl,0.1
???,Almond,Permethrin(Permetrin)),0.05
???,Almond,Pendimethalin,0.05
???,Almond,Fenvalerate,0.2
???,Almond,Fenbutatin oxide,0.5
???,Almond,Propargite,0.1
???,Almond,Propiconazole,0.1
???,Almond,Pyrethrins,1
???,Almond,Pirimicarb,1
???,Almond,Piperonyl butoxide,8
????,Amaranth,Acetamiprid,10
????,Amaranth,Emamectin benzoate,1
????,Amaranth,Oxolinic acid,20
????,Amaranth,Fludioxonil,20
??,Apple,Nabam,2
??,Apple,Norflurazon,0.1
??,Apple,Novaluron,1
??,Apple,Nuarimol,0.1
??,Apple,Daminozide,N.D.
??,Apple,Diazinon,0.05
??,Apple,Dodine,5
??,Apple,Diniconazole,1
??,Apple,Dimethoate,1
??,Apple,Dimethyl dithiocarbamates,2
??,Apple,Diafenthiuron,0.5
??,Apple,Dicofol,2
??,Apple,Dichlorvos : DDVP,2
??,Apple,Dichlorprop,0.05
??,Apple,Dichlobenil,0.15
??,Apple,Dichlofluanid,5
??,Apple,Dithianon,5
??,Apple,Dithiocarbamates,2
??,Apple,Diphenylamine,5
??,Apple,Lufenuron,0.3
??,Apple,maneb,2
??,Apple,Mandestrobin,2
??,Apple,Mancozeb,2
??,Apple,Malathion,0.5
??,Apple,Maleic hydrazide,40
??,Apple,Mevinphos,0.5
??,Apple,Mecoprop-P,0.05
??,Apple,Methamidophos,0.1
??,Apple,Metaflumizone,1
??,Apple,Metalaxyl,0.05
??,Apple,Methomyl,2
??,Apple,Methoxychlor,14
??,Apple,Metrafenone,0.1
??,Apple,Metconazole,1
??,Apple,Metiram,2
??,Apple,Mepanipyrim,0.5
??,Apple,Meptyldinocap,0.1
??,Apple,Monocrotophos,1
??,Apple,Milbemectin,0.1
??,Apple,Bensultap,0.7
??,Apple,Benzoximate,0.5
??,Apple,Bentazone,0.05
??,Apple,Benfuracarb,0.5
??,Apple,Buprofezin,0.5
??,Apple,Bromopropylate,5
??,Apple,Bistrifluron,1
??,Apple,Bitertanol,0.6
??,Apple,Bifenazate,1
??,Apple,Vinclozolin,1
??,Apple,Cyantraniliprole,0.1
??,Apple,Cyenopyrafen,1
??,Apple,Cypermethrin,1
??,Apple,Cyprodinil,1
??,Apple,Cyproconazole,0.1
??,Apple,Cyflumetofen,0.5
??,Apple,Cyfluthrin,0.5
??,Apple,Cyhalothrin,0.5
??,Apple,Cyhexatin,2
??,Apple,Saflufenacil,0.03
??,Apple,Sulfoxaflor,0.4
??,Apple,Sethoxydim,1
??,Apple,Spinosad,0.05
??,Apple,Spiromesifen,0.5
??,Apple,Spirotetramat,0.7
??,Apple,Simazine,0.05
??,Apple,Abamectin,0.02
??,Apple,Acequinocyl,0.5
??,Apple,Acephate,5
??,Apple,Acibenzolar-S-methyl,0.2
??,Apple,Isofetamid,0.2
??,Apple,Isoprothiolane,0.05
??,Apple,Azafenidin,0.1
??,Apple,Azocyclotin,2
??,Apple,Azinphos-methyl,1
??,Apple,Acrinathrin,0.5
??,Apple,Alanycarb,0.5
??,Apple,Emamectin benzoate,0.2
??,Apple,Ethephon,5
??,Apple,Etoxazole,0.5
??,Apple,Ethoxyquin,3
??,Apple,Ethiofencarb,5
??,Apple,MCPA,0.05
??,Apple,Oryzalin,0.05
??,Apple,Omethoate,0.4
??,Apple,Ortho-PhenylPhenol,10
??,Apple,Oxamyl,2
??,Apple,Oxolinic acid,2
??,Apple,"Benzyladenine, 6-Benzyl aminopurine",0.1
??,Apple,Imazalil,5
??,Apple,Iminoctadine,0.3
??,Apple,Imibenconazole,0.3
??,Apple,"2,4-D",2
??,Apple,Iprodione,10
??,Apple,EPN,0.2
??,Apple,Indaziflam,0.05
??,Apple,Indoxacarb,0.3
??,Apple,Zineb,2
??,Apple,Ziram,2
??,Apple,Carbaryl : NAC,1
??,Apple,Carbosulfan,0.5
??,Apple,Carbofuran,0.5
??,Apple,Cartap hydrochloride,0.7
??,Apple,Carfentrazone-ethyl,0.1
??,Apple,Captan,5
??,Apple,Chromafenozide,1
??,Apple,Chlorothalonil,2
??,Apple,Chlorpropham,0.05
??,Apple,Chlorfluazuron,0.2
??,Apple,Clofentezine,1
??,Apple,Terbuthylazine,0.1
??,Apple,Tebuconazole,1
??,Apple,Tebufenpyrad,0.5
??,Apple,Tetradifon,3
??,Apple,Tolylfluanid,5
??,Apple,Tolclofos-methyl,0.05
??,Apple,Triadimenol,0.5
??,Apple,Triadimefon,0.5
??,Apple,Triazamate,0.1
??,Apple,Triazophos,0.2
??,Apple,Trichlorfon(DEP),2
??,Apple,Triforine,2
??,Apple,Triflumuron,0.5
??,Apple,Triflumizole,1
??,Apple,Thiram,2
??,Apple,Thiabendazole,10
??,Apple,Thiodicarb,2
??,Apple,Thiocyclam,0.7
??,Apple,Parathion,0.3
??,Apple,Parathion-Methyl,0.2
??,Apple,Paclobutrazol,0.5
??,Apple,Permethrin(Permetrin),0.05
??,Apple,Ferbam,2
??,Apple,Fenamiphos,0.2
??,Apple,Fenazaquin,0.3
??,Apple,Fenoxycarb,0.5
??,Apple,Fenitrothion : MEP,0.5
??,Apple,Pendimethalin,0.05
??,Apple,Fenbuconazole,2
??,Apple,Fenbutatin oxide,5
??,Apple,Penconazole,0.2
??,Apple,Phenthoate : PAP,0.2
??,Apple,Penthiopyrad,0.2
??,Apple,Fenthion : MPP,0.2
??,Apple,Fenpropathrin,5
??,Apple,Fenpyroximate,0.5
??,Apple,Fenhexamid,1
??,Apple,Phosalone,5
??,Apple,Fosetyl-aluminium,25
??,Apple,Phosphamidone,0.5
??,Apple,Folpet,5
??,Apple,Furathiocarb,0.5
??,Apple,Procymidone,5
??,Apple,Prochloraz,0.5
??,Apple,Prothiofos,0.05
??,Apple,Propargite,5
??,Apple,Profenofos,2
??,Apple,Propineb,2
??,Apple,Propiconazole,1
??,Apple,Flonicamid,0.7
??,Apple,Fluroxypyr,0.1
??,Apple,Flumioxazine,0.1
??,Apple,Flubendiamide,1
??,Apple,Fluazinam,0.3
??,Apple,Fluacrypyrim,1
??,Apple,Fluopyram,0.7
??,Apple,Flufenoxuron,0.7
??,Apple,Flupyradifurone,0.5
??,Apple,Fluxapyroxad,0.5
??,Apple,Pyrazophos,1
??,Apple,Pyraclostrobin,0.2
??,Apple,Pyraflufen-ethyl,0.1
??,Apple,Pyrethrins,1
??,Apple,Pyridaben,1
??,Apple,Pyridaphenthion,0.1
??,Apple,Pyridaryl(Pyridalyl),1
??,Apple,Pyrimethanil,2
??,Apple,Pyrimidifen,0.2
??,Apple,Pirimicarb,1
??,Apple,Pirimiphos-methyl,2
??,Apple,Pyribencarb,2
??,Apple,Pyrifluquinazon,0.05
??,Apple,Pymetrozine,0.3
??,Apple,Picoxystrobin,0.3
??,Apple,Hexaflumuron,0.5
??,Apple,Hexythiazox,0.3
??,Apricot,Dimethoate,2
??,Apricot,Dicofol,1
??,Apricot,Dicloran,10
??,Apricot,Dichlobenil,0.15
??,Apricot,Dichlofluanid,15
??,Apricot,Dithianon,5
??,Apricot,Difenoconazole,0.05
??,Apricot,Myclobutanil,1.5
??,Apricot,Malathion,0.5
??,Apricot,Maleic hydrazide,40
??,Apricot,Mevinphos,0.2
??,Apricot,Methoxychlor,14
??,Apricot,Metolachlor,0.1
??,Apricot,Meptyldinocap,0.1
??,Apricot,Buprofezin,0.5
??,Apricot,Bitertanol,1
??,Apricot,Vinclozolin,5
??,Apricot,Cypermethrin,2
??,Apricot,Cyflumetofen,1
??,Apricot,Cyfluthrin,1
??,Apricot,Cyhalothrin,0.5
??,Apricot,Sethoxydim,1
??,Apricot,Spirodiclofen,5
??,Apricot,Spiromesifen,1
??,Apricot,Amitraz,2
??,Apricot,Acequinocyl,2
??,Apricot,Azinphos-methyl,1
??,Apricot,Ethiofencarb,5
